n,description,canonical_file,status,provenance
1,P/C/B periodic or phase-resolved state trajectories,artifacts/crack_rebonding_part_x_v1/fig01_pcb_phase_trajectory.png,GENERATED_IN_FINAL_CLOSURE,ANALYTICAL_PREDICTION
2,Transition actions and realized transition fluxes,artifacts/crack_rebonding_part_x_v1/fig02_transition_actions_fluxes.png,GENERATED_IN_FINAL_CLOSURE,ANALYTICAL_PREDICTION
3,Contact exposure or contact fraction versus R,artifacts/crack_rebonding_part_x_v1/fig03_screen_contact_exposure_vs_R.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION
4,Screen-regime S_h versus R,artifacts/crack_rebonding_part_x_v1/fig04_screen_S_h_vs_R.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION_POST_PROCESSED
5,Frequency response,artifacts/crack_rebonding_part_x_v1/fig05_screen_frequency_response.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION_POST_PROCESSED
6,"Dwell response, invalidated vs corrected",artifacts/crack_rebonding_part_x_v1/fig06_dwell_invalidated_vs_corrected.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION (both invalidated and corrected series explicitly distinguished)
7,Passivation or chemistry response,artifacts/crack_rebonding_part_x_v1/fig07_screen_passivation_chemistry_response.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION_POST_PROCESSED
8,Cohesive-strength response,artifacts/crack_rebonding_part_x_v1/fig08_screen_cohesive_strength_response.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION_POST_PROCESSED
9,Absolute developed da/dN versus Kmax,artifacts/crack_rebonding_part_x_v1/fig09_absolute_developed_da_dN_vs_Kmax.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION
10,Developed S_h versus Kmax,artifacts/crack_rebonding_part_x_v1/px6_S_h_developed_vs_Kmax_all_protocols.png,PRESENT_AND_VERIFIED,PHYSICAL_SIMULATION_POST_PROCESSED (reused from PX6)
11,Local slopes and curvature,artifacts/crack_rebonding_part_x_v1/fig11_local_slope_curvature.png,GENERATED_IN_FINAL_CLOSURE,POST_PROCESSING
12,Reduced-frequency developed curves,artifacts/crack_rebonding_part_x_v1/fig12_reduced_frequency_developed_curves.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION
13,Clean reversible versus passivation-limited curves,artifacts/crack_rebonding_part_x_v1/fig13_reversible_vs_passivation_curves.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION
14,Reversible versus persistent curves,artifacts/crack_rebonding_part_x_v1/fig14_reversible_vs_persistent_curves.png,GENERATED_IN_FINAL_CLOSURE,PHYSICAL_SIMULATION
15,Dynamic rebonding versus prescribed static-shield controls,artifacts/crack_rebonding_part_x_v1/px6_px5_static_shield_vs_dynamic.png,PRESENT_AND_VERIFIED,"PHYSICAL_SIMULATION (dynamic + 2 prescribed static controls, reused from PX6)"
16,Eventwise and rolling waiting-time ratios,artifacts/crack_rebonding_developed_confirmation/eventwise_and_rolling_waiting_time_ratios.png,PRESENT_AND_VERIFIED,"PHYSICAL_SIMULATION (reused from the pre-Part-X developed_confirmation study -- same stable_growth_gate/event-schema primitives PX4 reuses verbatim; not PX4's own 5-protocol grid, a predecessor 2-seed confirmation at Kmax=15/18/21)"
17,Available mechanism diagnostics versus Kmax,artifacts/crack_rebonding_part_x_v1/fig17_mechanism_diagnostics_vs_Kmax.png,GENERATED_IN_FINAL_CLOSURE,ANALYTICAL_PREDICTION
18,"Censor, attempt, invalidation, and admissibility map",artifacts/crack_rebonding_part_x_v1/fig18_admissibility_map.png,GENERATED_IN_FINAL_CLOSURE,POST_PROCESSING
19,Seed-robustness comparison,artifacts/crack_rebonding_part_x_v1/px6_seed_robustness_slope_comparison.png,PRESENT_AND_VERIFIED,"POST_PROCESSING (both seeds shown, reused from PX6)"
