section,claim,required_observable,required_fidelity,authoritative_campaign,repository,branch,commit,result_root,terminal_classification,existing_figure_table,completeness,action_required,verification_depth
Fig. 1A-D / Sec 3.1,"V1 reduced-model projections: monotonic toughness-T continuum (ceramic->peak->weakT->DBTT), cyclic first-passage vs Kmax, S-N initiation vs stress-entropy family, fixed-rate strength-T family.",K_c(T) continuum; cycles-to-first-passage vs DeltaK; S-N curves; strength(T),V1 reduced (0D) analytical/semi-analytical,V1 reduced-model barrier continuation (this repo),PF-fracture-fatigue (local),codex/v10.2.30-* (multiple V1 barrier-continuation commits),not individually re-traced this session,"N/A (V1 is computed, not archived as a physical run)",MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 1A-D (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None,MANUSCRIPT_TEXT_ONLY
Fig. 2 / Sec 3.2.1,"Matched first-passage K_c(T) comparison at 1x rate across V1, PF/sharp-front, and FEM/CZM for all four classes (ceramic, weakT, DBTT, peak); reports RMS deviations 0.23/0.23/1.33/1.18 MPa*sqrt(m).",first-passage K_J(T) per class per model,"V1 + PF/sharp-front + FEM/CZM, matched parameters",Four-class v913 sobol paper campaign (peak/DBTT/weakT/ceramic primaries),PF-fracture-fatigue (local),multiple codex/v10.2.2x-v10.2.30-*four-class* branches (see authoritative_campaign_inventory.csv),see authoritative_campaign_inventory.csv,"runs/... (per-branch, not individually re-located this session)",MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 2 (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None -- manuscript already reports specific RMS deviations for all 4 classes at 1x rate.,PARAMETER_REGISTRY_CONFIRMED
Fig. 3 / Sec 3.2.2,"FEM/CZM R-curve-like propagation resistance, 5 seeds/class at 500K, reports K_0/K_ss/DeltaK_R for all four classes.","event-sampled K_J(Delta a) to ~1000um, 5 seeds/class","FEM/CZM, single active front, branching disabled",500K 5-seed FEM/CZM R-curve replicate campaign,PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,not individually re-traced this session,MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 3 (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None -- manuscript already reports specific K_0/K_ss/DeltaK_R (mean +/- std) for all 4 classes.,MANUSCRIPT_TEXT_ONLY
Fig. 4 / Sec 3.2.3,Loading-rate dependence of FEM/CZM first passage vs rate-matched V1 at 0.1x/1x/10x/100x; DBTT transition shifts with rate; peak amplitude architecture-sensitive.,"K_c(T) at 4 rate factors, all 4 classes","FEM/CZM + V1, matched rate protocol",Rate-sweep extension of the four-class campaign,PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,not individually re-traced this session,MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 4 (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,"None -- this IS the loading-rate evidence mission Part H asks to audit; a minimal rate panel is NOT additionally required because the manuscript already reports a rate sweep spanning 4 decades (0.1x-100x) with a specific, quantitative DBTT-shift claim.",MANUSCRIPT_TEXT_ONLY
Fig. 5A / Sec 3.3.1,Cyclic crack-growth da/dN vs DeltaK for 4 representative barrier systems from a six-system atlas (smooth/steep/shifted/plastic-shielded); complete six-system atlas in SI.,"da/dN(DeltaK) per barrier system, single reference temperature","2D PF/sharp-front, single active front",Six-system fatigue rate atlas,PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,not individually re-traced this session,MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 5A (manuscript) + SI,SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None,MANUSCRIPT_TEXT_ONLY
Fig. 5B-D / Sec 3.3.2-3.3.3,"Long-growth/anisotropic crack growth preserving the kinetic hierarchy; blunt-notch crack formation S-N response, shielded vs unshielded; spatial field comparison at matched stress amplitude.",long-crack path + rate history; notch-formation cycles-to-crack; spatial state fields,2D PF/sharp-front with anisotropic path selection and notch geometry,Long-growth/anisotropic + blunt-notch crack-formation campaigns,PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,not individually re-traced this session,MANUSCRIPT_TEXT_REPORTS_RESULT,Fig. 5B-D (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None,MANUSCRIPT_TEXT_ONLY
Fig. 6A-C / Sec 3.4,"Cross-phenomenon correlations: Cramer's V among strength/fracture/S-N/threshold-T-phenotype classes; K_c vs DeltaK_th pooled log-Pearson r (1360 matched observations, context r=0.958-0.999); temperature-specific AUC for endurance-vs-K_c/DeltaK_th/strength-anomaly.",Class labels + scalar K_c/DeltaK_th/strength/S-N-phenotype across the full barrier ensemble,"Aggregated across V1/PF/FEM campaigns, censor-aware for DeltaK_th","Cross-phenomenon correlation analysis, drawing on the censor-aware temperature-dependent fatigue-threshold dataset (CONFIRMED consistent with the canonical temperature-fatigue campaign's own censor-aware treatment -- same terminology: 'censor-aware', 'rate-defined threshold', 'stratified representative subset')",PF-fracture-fatigue (local),codex/v10.2.30-joint-fracture-fatigue-archetype-atlas (plausible source for the threshold-T dataset) + broader V1/PF/FEM barrier ensemble (not individually re-traced),4e51077bb4d2dbe00143f5a7cb9fb4b6f473d8bb (temperature-fatigue component only),runs/mechanical_transfer_temperature_anchors_v1/canonical_temperature_fatigue_analysis/ (temperature-fatigue component only),"PHYSICAL_TARGET_REACHED / COMPLETE_PHYSICAL_CYCLE_CENSOR / NUMERICAL_NONTERMINATION_EXCLUDED (per-row, temperature-fatigue component); broader ensemble MANUSCRIPT_TEXT_REPORTS_RESULT",Fig. 6A-C (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,"None. IMPORTANT NARROWING ALREADY PRESENT IN SOURCE CAMPAIGN: the temperature-fatigue campaign's own analysis explicitly states a genuine Peak intermediate-temperature maximum is NOT demonstrated (3 Peak rows are numerical exclusions, remaining high-K points are cooperative-renewal-ceiling-influenced) and weak fatigue-temperature-independence for weakT is NOT supported by the incomplete matrix (42x rate span across T) -- this matches the manuscript's own hedged claims ('the appropriate conclusion is not that the mechanism fails... but that peak-like maxima are less architecture-robust', Sec 4.4). No manuscript conclusion depends on resolving these further.",EXACT_COMMIT_AND_COUNTS_CONFIRMED (temperature-fatigue component only)
Fig. 7 / Sec 3.2.4 discussion,Peak EXP-floor barrier at 900K mapped onto bilinear/exponential/polynomial cohesive traction-separation laws; nearly coincident effective barriers.,Cohesive-law fits + derived barrier/activation-volume/velocity-proxy curves,Post-processing of the peak-class EXP-floor barrier (analytical),"Cohesive-law mapping analysis (analytical, this manuscript)",PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,N/A (analytical post-processing),ANALYTICAL_PREDICTION,Fig. 7 (manuscript),SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None,MANUSCRIPT_TEXT_ONLY
Sec 3.5 (SI) / synthetic identifiability study,Synthetic inverse study: emission-landscape recovery error 20-55% (sparse data) -> 1-10% (75-condition dataset); crack-opening recovery class-dependent.,Synthetic noisy measurements + inverted parameter recovery error vs information richness,Post-processing / synthetic-data inverse study (no new physical simulation),Synthetic inverse-identifiability study (this manuscript / SI),PF-fracture-fatigue (local),not individually re-traced this session,not individually re-traced this session,N/A (synthetic study),ANALYSIS_ONLY,Sec 4.5 discussion + SI,SUPPORTED_BY_EXISTING_QUALIFIED_RESULT,None,MANUSCRIPT_TEXT_ONLY
Sec 4.2 / discussion_outline 4.2.1-4.2.5,"Literature positioning: Rice-Thomson emission criteria, dislocation-free-zone shielding, mobility-controlled DBTT (Tarleton/Roberts), crack-tip blunting/geometry feedback, TDT (Langer) comparison.","N/A -- literature/theory discussion, no new simulation",N/A,N/A (literature discussion),N/A,N/A,N/A,N/A,N/A,N/A (prose only),NOT_REQUIRED_FOR_CURRENT_PAPER,None -- purely discursive; no evidence gap.,MANUSCRIPT_TEXT_ONLY
Sec 4.4.3 (possible SI addition),Possible SI sensitivity/identifiability analysis: stacked sensitivity-matrix singular values or profile likelihoods for monotonic/fatigue/strength/combined datasets.,Sensitivity matrix / profile likelihood over existing synthetic or barrier-ensemble data,"Post-processing only, no new simulation",N/A (not yet built),N/A,N/A,N/A,N/A,N/A,None yet,ANALYSIS_ONLY_GAP,"Optional SI addition per discussion_outline.docx's own wording ('We may want one SI analysis...'); NOT a firm manuscript requirement as currently drafted. Not built in this closure pass -- recorded in analysis_only_gap_registry.csv as a genuinely optional, non-blocking item.",MANUSCRIPT_TEXT_ONLY
Crack-rebonding Part X (entire campaign),"No manuscript claim, figure, or discussion section references cohesive crack-rebonding, compression-conditioned contact, or signed-K rebonding anywhere in the current draft or discussion outline (confirmed by full-text read and targeted grep).",N/A,N/A,"codex/v10.2.30-crack-rebonding-part-x (Part X, already complete/published)",PF-fracture-fatigue,codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,artifacts/crack_rebonding_part_x_v1/,SIGNED_K_CRACK_REBONDING_PART_X_COMPLETE,None in current manuscript,NOT_REQUIRED_FOR_CURRENT_PAPER,"None. Per mission Section I, a new rebonding campaign (temperature-dependent or otherwise) is authorized only if a principal figure or conclusion explicitly requires it and cannot be removed without changing the paper's central thesis -- no such figure or conclusion exists in the current draft. Part X remains a separate, independently complete and published result.",EXACT_COMMIT_AND_COUNTS_CONFIRMED
