claim_id,section,claim,repository,branch,commit,result_root,source_data_file,builder_script,parameter_fingerprint,terminal_status,status,verification_note
Fig2-ceramic-RMS,Fig. 2 / Sec 3.2.1,FEM/CZM ceramic 1x-rate first-passage RMS deviation from V1 analytic = 0.23 MPa*sqrt(m),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A (not a git repository),N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF_vs_CZM_first_passage_with_analytic_publication/,first_passage_comparison_with_analytic.csv,compare_pf_czm_first_passage_with_analytic.py (packaged in PF_CZM_First_Passage_And_MeanRcurve_Analytic_Comparison_Publication.zip),"theta=45.0 (confirmed in replicate_campaign_config.json and comparison_config.json); v913_zeroD_sobol_0077080 (ceramic primary, EXP-floor row cross-checked against the sobol registry)",10/10 temperatures complete (is_complete=True for FEM/CZM rows),QUALIFIED_SOURCE_RESULT_VERIFIED,"Independently recomputed RMS from the raw error_vs_analytic_MPa_sqrt_m column (10 temperatures, 300-1200K): 0.2329 -> rounds to manuscript's stated 0.23. EXACT MATCH."
Fig2-weakT-RMS,Fig. 2 / Sec 3.2.1,FEM/CZM weakT 1x-rate first-passage RMS deviation from V1 analytic = 0.23 MPa*sqrt(m),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A (not a git repository),N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF_vs_CZM_first_passage_with_analytic_publication/,first_passage_comparison_with_analytic.csv,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; v913_zeroD_sobol_0129902 (weakT primary),10/10 temperatures complete,QUALIFIED_SOURCE_RESULT_VERIFIED,Independently recomputed RMS: 0.2267 -> rounds to manuscript's stated 0.23. EXACT MATCH.
Fig2-peak-RMS,Fig. 2 / Sec 3.2.1,FEM/CZM peak 1x-rate first-passage RMS deviation from V1 analytic = 1.18 MPa*sqrt(m),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A (not a git repository),N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF_vs_CZM_first_passage_with_analytic_publication/,first_passage_comparison_with_analytic.csv,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; v913_zeroD_sobol_0242980 (peak primary),10/10 temperatures complete,QUALIFIED_SOURCE_RESULT_VERIFIED,Independently recomputed RMS: 1.1787 -> rounds to manuscript's stated 1.18. EXACT MATCH.
Fig2-DBTT-RMS,Fig. 2 / Sec 3.2.1,FEM/CZM DBTT 1x-rate first-passage RMS deviation from V1 analytic = 1.33 MPa*sqrt(m),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A (not a git repository),N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF_vs_CZM_first_passage_with_analytic_publication/,first_passage_comparison_with_analytic.csv,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; v913_zeroD_sobol_0202500 (DBTT primary),10/10 temperatures complete,QUALIFIED_SOURCE_RESULT_VERIFIED,Independently recomputed RMS: 1.3258 -> rounds to manuscript's stated 1.33. EXACT MATCH.
Fig2-PF-vs-FEM-completeness,Fig. 2 caption,Several PF/sharp-front cases reached first passage but did not reach the target extension (open markers); all FEM/CZM sweeps are complete (filled markers).,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A,N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/,four_class_temperature_summary.csv (PF side),N/A (raw campaign output),theta=45.0,"Confirmed: several PF DBTT rows show crack_extension_um << 500 (e.g. 60.9, 54.9 um at 500-900K) vs the FEM/CZM side's consistently ~500-503 um -- matches the manuscript's own open-vs-filled-marker distinction exactly.",QUALIFIED_SOURCE_RESULT_VERIFIED,Directly inspected both raw temperature-summary CSVs side by side.
Fig3-Kss-DeltaKR-all-classes,Fig. 3 / Sec 3.2.2,"FEM/CZM R-curve at 500K, 5 seeds/class: Ceramic K0=9.33+/-0.09, Kss=16.59+/-1.39, DeltaKR=7.26+/-1.42; weakT K0=12.83+/-0.10, Kss=17.78+/-1.51, DeltaKR=4.95+/-1.51; Peak K0=16.71+/-0.13, Kss=27.41+/-1.69, DeltaKR=10.70+/-1.68; DBTT K0=22.77+/-0.16, Kss=33.20+/-4.48, DeltaKR=10.43+/-4.42.",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A (not a git repository),N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/,Rcurve_analysis/class_Rcurve_metric_summary_complete_only.csv,run_four_class_czm_500K_5rep_1000um.sh + run_four_class_czm_500K_seeded_replicates.py -> analyze_saved_Rcurves.py (produces class_Rcurve_metric_summary_complete_only.csv),"theta=45.0, T=500K, seeds=[1101..1105], target_ext_um=1000.0 (replicate_campaign_config.json)",n_complete=5/5 for all four classes,QUALIFIED_SOURCE_RESULT_VERIFIED,"DIGIT-FOR-DIGIT EXACT MATCH to every one of the 12 reported mean+/-std values (K0_mean/K0_std, Kss_mean/Kss_std, DeltaK_mean/DeltaK_std for all 4 classes), read directly from class_Rcurve_metric_summary_complete_only.csv. This is the single strongest provenance confirmation obtained in this closure pass."
Fig3-fitted-saturation-params,Sec 2.15,"Class-mean saturating fits give K_ss of 16.27, 17.23, 27.43, and 33.73 MPa*sqrt(m) for ceramic/weakT/peak/DBTT with characteristic extensions ~371/454/354/319 um.",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A,N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_500K_5rep_1000um_theta45/,Rcurve_analysis/class_mean_Rcurve_fits.csv,analyze_saved_Rcurves.py,Same campaign as Fig3-Kss-DeltaKR-all-classes,sat_success=True for all 4 classes,QUALIFIED_SOURCE_RESULT_VERIFIED,"EXACT MATCH: sat_Kss=16.27/17.23/27.43/33.73, sat_ell_um=370.8/453.7/353.8/319.3 (rounds to manuscript's 371/454/354/319) read directly from class_mean_Rcurve_fits.csv."
Fig4-rate-sweep-coverage,Fig. 4 / Sec 3.2.3,"FEM/CZM evaluated at 0.1x/1x/10x/100x nominal rate factors; DBTT transition shifts to lower temperature at lower rate, higher at higher rate; peak amplitude shifts but is muted at every rate.",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,N/A,N/A,/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM/runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/,"rate_0.1x/, rate_1x/, rate_10x/, rate_100x/ (each with four_class_temperature_summary.csv)",run_four_class_exp_floor_czm_rate_sweep.sh,theta=45.0; rate_campaign_config.json,"rate_1x and rate_10x: 40/40 rows (4 classes x 10 temperatures) complete. rate_0.1x: only 7 rows present (all DBTT, T>=600K) -- consistent with the manuscript's own caveat that the shifted low-rate DBTT transition only appears at higher temperature and that unavailable cases are omitted from the figure. rate_100x: only 2 rows present -- consistent with 'at 100x the high-toughness branch is only approached near or above the upper end of the simulated temperature range.'",QUALIFIED_SOURCE_RESULT_VERIFIED,"Row counts and temperature coverage directly inspected and found CONSISTENT with (not contradicting) the manuscript's own qualitative caveats about incomplete high/low-rate coverage. The prose DBTT-shift claim is qualitative rather than a single reported number, so verification here is existence-and-consistency of the underlying per-temperature K_c values (present and directly inspected), not a digit-for-digit numeric reproduction as achieved for Figs 2-3."
Fig1-V1-barrier-continuation,Fig. 1A-D / Sec 3.1,V1 reduced-model monotonic/cyclic/S-N/fixed-rate-strength barrier continuation families.,Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"No V1-specific reduced-model source script or output CSV was located in the Arrhenius_FEM_CZM, Arrhenius_FEM_CZM_MPZ_*, or PF-fracture-fatigue trees during this session's search. V1 is described in the manuscript as fast/analytical, so it may be regenerable on demand from a script rather than archived as a fixed output -- but that script was not identified. Recorded honestly as not source-traced."
Fig5A-six-system-atlas,Fig. 5A / Sec 3.3.1,Cyclic da/dN vs DeltaK for 4 of a 6-system barrier atlas (smooth/steep/shifted/plastic-shielded).,Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"No file or commit containing 'six-system atlas' or matching terminology was found in a targeted grep across all locally available repositories. This does not mean the underlying calculation does not exist -- fatigue da/dN-vs-DeltaK curves are a native, already-qualified V1/PF capability used throughout this whole session's prior work (e.g. crack-rebonding Part X's own developed campaign) -- but the SPECIFIC six-system dataset behind Fig. 5A was not pinpointed this session."
Fig5BCD-long-growth-notch,Fig. 5B-D / Sec 3.3.2-3.3.3,Long-growth/anisotropic crack growth; blunt-notch S-N crack formation; spatial field comparison.,Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Not traced this session.
Fig6-cross-phenomenon-full,Fig. 6A-C / Sec 3.4,"Cramer's V class associations; K_c vs DeltaK_th over 1360 matched observations (pooled log-Pearson r, context r=0.958-0.999); temperature-specific AUC for endurance vs K_c/DeltaK_th/strength-anomaly.",Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"A targeted grep for '1360' and 'Cramer' across the full git history of PF-fracture-fatigue and the Arrhenius_FEM_CZM* trees found no genuine match (only coincidental numeric substrings). The censor-aware temperature-dependent fatigue-threshold component is PLAUSIBLY (terminology matches closely: 'censor-aware', 'rate-defined threshold', 'stratified representative subset') drawn from the canonical temperature-fatigue campaign (commit 4e51077, independently verified elsewhere in this matrix), but this was not confirmed by locating the actual 1360-row dataset or the Cramer's-V computation script. Downgraded from the v1 matrix's SUPPORTED_BY_EXISTING_QUALIFIED_RESULT to MANUSCRIPT_RESULT_NOT_SOURCE_TRACED per the corrected semantics -- this is the single most important status downgrade in this revision."
Fig7-cohesive-law-mapping,Fig. 7 / Sec 3.2.4 discussion,Peak EXP-floor barrier at 900K mapped onto bilinear/exponential/polynomial cohesive laws; nearly coincident effective barriers.,Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"A directory named cohesive_exp_floor_comparison_package/ EXISTS in Arrhenius_FEM_CZM (DBTT/peak/weakT comparison_curves.csv at 300K/900K) and is PLAUSIBLY related, but the exact bilinear/exponential/polynomial traction-law fitting script and its 900K peak-class output was not individually opened and confirmed against the manuscript's Fig. 7 panels this session."
SI-identifiability-recovery-errors,Sec 4.5 / SI,Synthetic inverse study: emission-landscape recovery error 20-55% (sparse) -> 1-10% (75-condition dataset).,Not located this session,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"Not traced this session. Per the mission's own instruction, if this code/data cannot be recovered, the reported percentages should be treated as not-yet-source-verified rather than qualified -- recorded accordingly."
Rebonding-out-of-scope,N/A (not in manuscript),Crack rebonding is not referenced anywhere in the current manuscript draft or discussion outline.,PF-fracture-fatigue,codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,artifacts/crack_rebonding_part_x_v1/,N/A,N/A,N/A,SIGNED_K_CRACK_REBONDING_PART_X_COMPLETE,NOT_REQUIRED_FOR_CURRENT_PAPER,"Confirmed by full-text read of the manuscript and discussion outline, and targeted grep for rebonding-related terms -- zero matches."
