claim_id,figure_panel,manuscript_claim_text,final_evidence_class,notes
Fig1A,Figure 1A,Temperature-dependent monotonic first-passage response across the continuation from ceramic-like to DBTT-like behavior.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass has not yet completed/been merged into this matrix build; see figure_1_5_6_si_forensics.json once available.
Fig1B,Figure 1B,Cyclic first-passage response for the same barrier continuation.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass has not yet completed/been merged into this matrix build; see figure_1_5_6_si_forensics.json once available.
Fig1C,Figure 1C,S-N-type initiation response across the matched entropy family.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass has not yet completed/been merged into this matrix build; see figure_1_5_6_si_forensics.json once available.
Fig1D,Figure 1D,Fixed-rate strength-temperature response generated by the same entropy family.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass has not yet completed/been merged into this matrix build; see figure_1_5_6_si_forensics.json once available.
Fig4-peak-narrow-attenuation,Figure 4,"The analytical peak shifts with rate, whereas FEM/CZM retains only muted shoulders.",SOURCE_RESULT_LOCATED_NOT_REVERIFIED,"Split per the third review's instruction: the peak's existence and FEM-attenuation are confirmed at 1x (matches Fig.2's own already-verified attenuation finding; see the separate Fig2-peak-narrow-topology row, which IS fully QUALIFIED_SOURCE_RESULT_VERIFIED). This row's specific claim -- that the peak LOCATION shifts with rate -- is source-located but NOT independently reverified across all 4 rates because the 100K-spaced grid only happens to resolve the local maximum at 1x; a PARTIAL match does not satisfy the strict verifier's numerical_comparison_passed==PASS requirement, so this row is correctly held at SOURCE_RESULT_LOCATED_NOT_REVERIFIED rather than rounded up."
Fig5A,Figure 5A,"Crack-growth-rate response for representative barrier systems spanning smooth, steep, shifted, and plastic-shielded regimes (4 of a 6-system atlas; full atlas in SI).",MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"Six-case atlas registry located (fem_czm_fatigue_cases.csv, all 6 case names/params confirmed matching manuscript Sec 3.3.1) but a complete/production (non-smoke) run with full K-lists for all 6 cases was not found as of the last search; dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix."
Fig5B,Figure 5B,Longer-growth and anisotropic calculations showing persistence of the kinetic hierarchy during substantial crack extension and path deflection.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
Fig5C,Figure 5C,S-N-type formation of a connected crack from a shallow blunt surface notch.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
Fig5D,Figure 5D,Representative spatial fields showing that plastic shielding can maintain a broad cyclic deformation state without localization into a connected crack.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
Fig6A,Figure 6A,"Categorical associations (Cramer's V) among temperature-dependent strength, monotonic fracture response, rate-defined fatigue crack-growth-threshold response, and S-N temperature phenotype.",MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
Fig6B,Figure 6B,"Matched-temperature relationship between K_c and DeltaK_th across 1360 matched observations; pooled log-space Pearson correlation, context-specific values 0.958-0.999.",MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
Fig6C,Figure 6C,Temperature-specific AUC association between endurance-like S-N response and K_c/DeltaK_th /strength-anomaly magnitude.,MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix.
SI-identifiability-recovery-errors,SI (synthetic identifiability),"Synthetic inverse-recovery study: 4 hidden response classes, 75-condition synthetic dataset per class; emission-landscape recovery error ~20-55% (sparse fracture data) improving to ~1-10% (complete 75-condition dataset).",MANUSCRIPT_RESULT_NOT_SOURCE_TRACED,"Dedicated Figure 1/5/6/SI forensics pass pending merge into this matrix. The 'codex/v10.2.30-inverse-fatigue-barrier-design' branch (commit 5034046) was directly inspected this round (git show of every identif*/inverse*/recovery* file) and CONFIRMED NOT to be the source: it is a prospective inverse-EXP-floor-barrier-fitting tool for declared crack-growth targets, with no 75-condition acquisition sequence, no four hidden-class (ceramic/weakT/peak/DBTT) synthetic-material design, and no 20-55%/1-10% recovery-error figures anywhere in its tracked files. This branch is therefore a ruled-out negative result, not merely an unconfirmed lead. Full repo history (9677 unique tracked paths across all local branches) was also grepped for cramer/auc/identifiab/blunt-notch/spatial_field filenames with no hits -- the SI study's source, if it exists on this filesystem, is not inside this git repository's history at all."
