claim,status,supporting_cases,supporting_artifact,scope,limitation,allowed_wording,wording_to_avoid
Complete chronological PF model-native KJ trajectories were recovered for all 288 canonical cases.,SUPPORTED,288/288,pf_canonical_full_step_trajectories.parquet; pf_canonical_full_trajectory_manifest.json,accepted-step canonical single-crack histories,model-native PF driving quantity,complete PF model-native KJ driving trajectories,applied K histories; conventional R-curves
Peak theta0 pre-initiation KJ/opening transfer is rate invariant.,SUPPORTED,36 cases; 12 matched temperature triplets,pf_peak_rate_initial_structural_transfer.csv,0.01x/1x/100x before first event,canonical geometry and production-discrete PF KJ,rate separation is not caused by initial structural KJ/U,all structural mechanics are rate independent after growth
Peak slow-rate onset elevation is the greater opening needed after rate-dependent state evolution.,SUPPORTED,12 matched Peak theta0 temperature triplets,pf_peak_theta0_rate_onset_decomposition.csv,initial onset,does not uniquely partition nonlinear state variables,greater-required-opening/local-state effect,structural-transfer toughening
"Emission/blunting, backstress, shielding, multiplicity, and cleavage history have unique additive shares in the Peak rate effect.",NOT_SUPPORTED,none; exact component injection unavailable,pf_peak_theta0_rate_counterfactuals.csv,nonlinear evolved-state counterfactuals,complete tensor/state injection contract absent,mixed local-state mechanism with strong emission/blunting and backstress changes,percent contribution of radius/backstress/shielding/multiplicity
Increasing theta lowers mean Peak and DBTT initial model-native onset KJ.,SUPPORTED,96 Peak/DBTT orientation cases,pf_orientation_initial_onset_decomposition.csv,theta0/15/30/45 at rate1x,"theta rotates crystal orientation, not crack line","mean Peak 46.59 to 21.03 and DBTT 41.14 to 21.89 MPa sqrt(m), theta0 to theta45",crack-path rotation lowers intrinsic toughness
The Peak/DBTT initial orientation loss is dominated by the opening/local-threshold term rather than structural KJ/opening.,SUPPORTED,96 Peak/DBTT orientation cases plus frozen zero-history maps,pf_orientation_initial_onset_decomposition.csv; pf_orientation_frozen_swap_matrix.csv,exact K=C*U decomposition and zero-history diagnostic,local tensor versus accumulated scalar-state subpartition unresolved,opening/local-threshold dominated,purely structural anisotropy
Off-axis Peak and DBTT more frequently have finite reload-separated effective resistance candidates.,SUPPORTED_CONDITIONALLY,Peak 48 and DBTT 48 orientation cases,pf_orientation_conditional_reinitiation_statistics.csv,finite reload-separated onset incidence,conditional and temperature dependent,"Peak incidence rises from 0/12 at theta0 to 6/12 at theta45; DBTT is 8/12, 10/12, 8/12, 9/12",universal off-axis rising R-curve
"Positive final Peak/DBTT Delta K reinitiation is mainly a required-opening/local-state effect, often opposed by structural wake transfer.",SUPPORTED_CONDITIONALLY,37 positive final Peak/DBTT candidates,pf_orientation_reinitiation_decomposition.csv,exact signed aggregate final-candidate decomposition,signed terms may oppose and are not material-toughness fractions,required-opening contribution 300.77 versus structural contribution -59.35 MPa sqrt(m) for 241.42 aggregate Delta K,structural wake is the primary source of the positive resistance
The local process-zone state is unchanged from initial onset to positive reinitiation.,NOT_SUPPORTED,37 positive final Peak/DBTT candidates,pf_orientation_reinitiation_decomposition.csv,archived scalar states,individual variables change non-monotonically,effective local threshold hardening with mixed scalar-state changes,invariant local source state
Positive PF model-native Delta K is a conventional energy-release R-curve.,NOT_SUPPORTED,none,PF_PEAK_DBTT_ORIENTATION_REINITIATION_AUDIT.md,terminology and physical interpretation,PF native domain-J/topology sensitivity remains model-native,reload-separated effective resistance candidate,conventional R-curve; intrinsic toughness increase
Complete evolved tensor swaps establish a unique local source mechanism.,UNRESOLVED_MISSING_STATE,zero-history orientation swap only,pf_orientation_frozen_swap_matrix.csv; pf_peak_theta0_rate_counterfactuals.csv,deterministic frozen-state diagnostics,complete tensor matrices were not archived at evolved accepted states,zero-history structural/tensor control; evolved-state attribution unresolved,exact evolved-state tensor causality proved
"The analysis changed trajectories, equations, material rows, or canonical data.",FALSE_VERIFIED,all source artifacts read-only,pf_canonical_full_trajectory_manifest.json; provenance bundle,this analysis branch,new deterministic analysis outputs only,analysis-only; zero new stochastic or FEM/CZM runs,new production campaign
