fidelity,candidate_id,parent_id,temperature_K,Kdot,threshold_action,F1B_status,K_onset_MPa_sqrt_m,applied_opening_MPa_sqrt_m,model_native_fracture_coordinate_MPa_sqrt_m,opening_action,accessibility,process_updates,one_process_update_per_interval,no_discrete_emission_clock,renewal_m,renewal_tau_s,row_sha256,conservation_relative,initial_radius_m,emitted_total,mobile,retained,wake_mobile,wake_retained,escaped,recovered,radius_m,backstress_Pa,active_shield_Pa_sqrt_m,wake_shield_Pa_sqrt_m,total_shield_Pa_sqrt_m,source_multiplicity,F2R_response_class
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,300.0,0.005,0.6931471805599453,FIRST_PASSAGE,5.020395199097214,5.020395199097214,5.020395199097214,0.6931471805599453,FRACTURE_ACCESSIBLE,21,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,0.0,1e-06,12.137212927786225,12.137212927786225,1.163875020852191e-40,0.0,0.0,0.0,0.0,1.0027106898453174e-06,67719194.20816946,1.1345327948819794e-39,0.0,1.1345327948819794e-39,66266.55525503357,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,450.0,0.005,0.6931471805599453,FIRST_PASSAGE,22.359663904873738,22.359663904873738,22.359663904859534,0.6931471805599453,FRACTURE_ACCESSIBLE,90,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,4.6307579532672164e-15,1e-06,7070.507591683677,7070.507590246736,1.436935200773084e-06,0.0,0.0,3.851852170555503e-11,0.0,2.5791066074271227e-06,1634472389.4558587,1.4202372831448285e-05,0.0,1.4202372831448285e-05,9693.760418777158,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,600.0,0.005,0.6931471805599453,FIRST_PASSAGE,39.5508516738328,39.5508516738328,39.549879256815046,0.6931471805599453,FRACTURE_ACCESSIBLE,159,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,4.2853428240210305e-15,1e-06,22072.31786782255,21973.93177767226,98.38609015028405,0.0,0.0,9.82538499904917e-11,0.0,5.92956729546634e-06,2291792072.350746,972.4170177579354,0.0,972.4170177579354,15900.495737507343,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,750.0,0.005,0.6931471805599453,FIRST_PASSAGE,73.00296480851247,73.00296480851247,72.92952354560221,0.6931471805599453,FRACTURE_ACCESSIBLE,293,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,8.060095054562282e-15,1e-06,72217.08989712216,64782.3486931807,7434.741203941373,0.0,0.0,6.680238584989871e-10,0.0,1.712875488031949e-05,2741343253.52261,73441.26291026972,0.0,73441.26291026972,38403.94677082648,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,900.0,0.005,0.6931471805599453,FIRST_PASSAGE,72.8925542309448,72.8925542309448,72.78827745679789,0.6931471805599453,FRACTURE_ACCESSIBLE,292,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,9.032239427847616e-15,1e-06,64444.32898225141,53493.861509103444,10950.467473147926,0.0,0.0,6.237144135066379e-10,0.0,1.5392809057552766e-05,3053448291.9578586,104276.7741469043,0.0,104276.7741469043,30985.862353631444,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,1050.0,0.005,0.6931471805599453,FIRST_PASSAGE,70.06935194199421,70.06935194199421,69.94841522454401,0.6931471805599453,FRACTURE_ACCESSIBLE,281,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,1.180093469500152e-15,1e-06,55490.196514168914,41468.69548274092,14021.281015272089,0.0,0.0,0.22001615596403212,0.0,1.3393019147029555e-05,3235450388.8593793,120936.71745021275,0.0,120936.71745021275,25444.29228122608,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,1200.0,0.005,0.6931471805599453,FIRST_PASSAGE,67.39710798976071,67.39710798976071,67.26793078364545,0.6931471805599453,FRACTURE_ACCESSIBLE,270,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,2.084988364883074e-15,1e-06,48855.62352012475,28946.56607684544,16675.60370287075,0.0,0.0,3233.4537404086586,0.0,1.1911272905122484e-05,3354993130.3390794,129177.20611525269,0.0,129177.20611525269,21823.23228511619,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,450.0,0.0005,0.6931471805599453,FIRST_PASSAGE,16.924222175298176,16.924222175298176,16.924222175298162,0.6931471805599453,FRACTURE_ACCESSIBLE,68,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,3.1728456480628135e-15,1e-06,3583.119077696948,3583.119077695518,1.4301744934412775e-09,0.0,0.0,1.1084466677857563e-11,0.0,1.8002433965907216e-06,1163544283.6474445,1.413549820289093e-08,0.0,1.413549820289093e-08,9497.903828011249,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,450.0,0.05,0.6931471805599453,FIRST_PASSAGE,29.87062113302292,29.87062113302292,29.87062111680146,0.6931471805599453,FRACTURE_ACCESSIBLE,120,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,5.5889124240818865e-15,1e-06,12367.629350731406,12367.627709515386,0.0016412160256833183,0.0,0.0,6.318146006378811e-11,0.0,3.7621503792628003e-06,2161698776.22024,0.01622145900272162,0.0,0.01622145900272162,10695.054777399258,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,750.0,0.0005,0.6931471805599453,RAMP_CENSORED,,,,0.3805283315307272,RAMP_CENSORED,320,True,True,3.2732414351776242,6.992153587194454e-07,ea041f4b80940f6153b3a58add12c042475cc2a50c4fa8b8949419f14881536c,7.558797129923244e-15,1e-06,115509.76943746566,115044.07946811154,465.6899693540908,0.0,0.0,9.052333328175922e-10,0.0,2.6797616051728288e-05,1893738346.097399,4602.299739457773,0.0,4602.299739457773,86948.28062706212,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
