accepted_crack_events,case_id,classification,stage_fingerprints,status,terminal_fingerprint,variant
3,E2E-00,CONTROLLED_REFERENCE_PATH,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,centered
3,E2E-01,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,positive_offset
3,E2E-02,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,negative_offset
3,E2E-03,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,short_ligament
3,E2E-04,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,long_ligament
3,E2E-05,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,diffusion_limited
3,E2E-06,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,accommodation_limited
3,E2E-07,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,embryo_healing_control
3,E2E-08,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,downstream_zero_drive
3,E2E-09,BOUNDED_CONTROL_VARIANT,"[""ce3f4af4fba65983a28f449c02d9c58f6153f137110b479e84e98512dbbee2c5"", ""be642f9b1079f99222b898872fc59da32dbc540f773418cca5df410abc9f43f3"", ""25a966570b53ab2e77f3ea2782fad18fab2135cf025f563ec8f3f87226c6fd3b"", ""6df10014ca974b83aece6d8b60c5bba2877e329015479be00cf9701b959acd6d"", ""abf046174e75632fb30fa9ce53a7487f1c291c3e5c2fa4e0267b529aa35dc401"", ""a794132856ff1dca9b962ed6e5dc18c7605bee0c07dd3bf513a1b404dcbf3559"", ""07a8fd5835db9aaa4c07f4757f6a44a579966d0fa764092d61034c9f913146f0"", ""e715caf990aacfe435101f09972d5342027268b50e689d61b480149fe5f56da9"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""9fea30312866d9ed130e5832d2a471cb10cb8ec8032805540f323daccaa61700"", ""a7836bba687bbbb73fb53dbd3fc14212b02561c8c5cdb91f978f5eac5011381f"", ""7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203""]",PASS,7ad59ecab9bedf730568fd9279ea1279a9ebebc8df089b1f91bd866a03679203,delayed_downstream
