fidelity,candidate_id,parent_id,temperature_K,Kdot,threshold_action,F1B_status,K_onset_MPa_sqrt_m,applied_opening_MPa_sqrt_m,model_native_fracture_coordinate_MPa_sqrt_m,opening_action,accessibility,process_updates,one_process_update_per_interval,no_discrete_emission_clock,renewal_m,renewal_tau_s,row_sha256,conservation_relative,initial_radius_m,emitted_total,mobile,retained,wake_mobile,wake_retained,escaped,recovered,radius_m,backstress_Pa,active_shield_Pa_sqrt_m,wake_shield_Pa_sqrt_m,total_shield_Pa_sqrt_m,source_multiplicity,F2R_response_class
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,300.0,0.005,0.6931471805599453,FIRST_PASSAGE,3.272711093704063,3.272711093704063,3.272711093704063,0.6931471805599453,FRACTURE_ACCESSIBLE,14,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,0.0,1e-06,7.654783729505357e-05,7.654783729505357e-05,1.4427766331928368e-48,0.0,0.0,0.0,0.0,1.0000000170959713e-06,170066.49408427117,1.1937619209090516e-47,0.0,1.1937619209090516e-47,96388.44679086142,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,450.0,0.005,0.6931471805599453,FIRST_PASSAGE,18.32726656535538,18.32726656535538,18.32726656535529,0.6931471805599453,FRACTURE_ACCESSIBLE,74,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,5.548575468046985e-15,1e-06,4589.6197675050435,4589.619767496216,8.82907866082536e-09,0.0,0.0,2.347633198951371e-11,0.0,2.0250323341664816e-06,1316863165.3144333,8.72646047023869e-08,0.0,8.72646047023869e-08,9443.076038847672,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,600.0,0.005,0.6931471805599453,FIRST_PASSAGE,22.10640646173125,22.10640646173125,22.106405826568288,0.6931471805599453,FRACTURE_ACCESSIBLE,89,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,4.457544670990153e-15,1e-06,6325.082043136985,6325.017779014298,0.06426412268386848,0.0,0.0,3.092373585017905e-11,0.0,2.4126254328026047e-06,1545042584.376138,0.6351629612496701,0.0,0.6351629612496701,9592.033769108833,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,750.0,0.005,0.6931471805599453,FIRST_PASSAGE,25.568724919547144,25.568724919547144,25.56832021913107,0.6931471805599453,FRACTURE_ACCESSIBLE,103,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,3.1373842619054096e-15,1e-06,9276.463457191641,9235.512618460485,40.9508387311549,0.0,0.0,3.035439961655935e-11,0.0,3.071778376426206e-06,1537626294.6509798,404.7004160732099,0.0,404.7004160732099,12271.474823417167,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,900.0,0.005,0.6931471805599453,FIRST_PASSAGE,35.67445191975037,35.67445191975037,35.665334560989464,0.6931471805599453,FRACTURE_ACCESSIBLE,143,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,5.897764793317699e-15,1e-06,21589.40932884894,20666.46824767357,922.9410811753735,0.0,0.0,1.2358115926483775e-10,0.0,5.8217159064694405e-06,1529368860.3549502,9117.358760905281,0.0,9117.358760905281,23382.578743294896,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,1050.0,0.005,0.6931471805599453,FIRST_PASSAGE,36.50378286600229,36.50378286600229,36.47916442423352,0.6931471805599453,FRACTURE_ACCESSIBLE,147,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,7.223680299638422e-15,1e-06,21655.594131536225,19156.30417472971,2499.289956806529,0.0,0.0,1.4052059692928433e-10,0.0,5.836497427863701e-06,1601222301.6362956,24618.441768775236,0.0,24618.441768775236,22391.716666794004,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,1200.0,0.005,0.6931471805599453,FIRST_PASSAGE,33.40703132602072,33.40703132602072,33.378591148019154,0.6931471805599453,FRACTURE_ACCESSIBLE,134,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,5.567733890159228e-15,1e-06,16988.500321749303,14054.52306213336,2933.977259615954,0.0,0.0,8.475709031933399e-11,0.0,4.794162266356322e-06,1622768742.7461736,28440.17800156506,0.0,28440.17800156506,18148.966217558063,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,300.0,0.0005,0.6931471805599453,FIRST_PASSAGE,3.0939230420036017,3.0939230420036017,3.0939230420036017,0.6931471805599453,FRACTURE_ACCESSIBLE,13,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,0.0,1e-06,0.0001766312285918439,0.0001766312285918439,1.944328601480527e-48,0.0,0.0,0.0,0.0,1.0000000394483049e-06,258336.66049247855,1.5210231674078893e-47,0.0,1.5210231674078893e-47,96388.00097786186,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,300.0,0.05,0.6931471805599453,FIRST_PASSAGE,3.5121133524391075,3.5121133524391075,3.5121133524391075,0.6931471805599453,FRACTURE_ACCESSIBLE,15,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,0.0,1e-06,6.213549760033483e-05,6.213549760033483e-05,1.2414599248908079e-48,0.0,0.0,0.0,0.0,1.0000000138771614e-06,153222.3738863854,1.0486359981352291e-47,0.0,1.0486359981352291e-47,96388.51098992216,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
F2R_CONFIRMED_PRODUCTION_REDUCED_RESPONSE,P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,750.0,0.0005,0.6931471805599453,FIRST_PASSAGE,25.471755097900214,25.471755097900214,25.47172874655572,0.6931471805599453,FRACTURE_ACCESSIBLE,102,True,True,3.2732414351776242,6.992153587194454e-07,0958559054a41abc09f7062b7152fce923d91a44cc2b39d9e8a9d211f608e53f,4.680451140131537e-15,1e-06,10493.158122009128,10490.491450726768,2.666671282366105,0.0,0.0,4.419664640922812e-11,0.0,3.3435114252237832e-06,1326170243.022285,26.3513444963111,0.0,26.3513444963111,15482.205085229041,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS
