candidate_id,parent_id,family,stage,cleavage_zero_target_eV,guard_log10_q_low,guard_exponent,cleavage_entropy_zero_kB,cleavage_entropy_active_kB,cleavage_entropy_infinity_kB,emission_entropy_active_kB,emission_entropy_infinity_kB,emission_stratum,cleavage_heat_capacity_base_kB,cleavage_heat_capacity_guard_kB,emission_heat_capacity_base_kB,complexity
P25_TJBS_T_000000,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,8,0,-20,-20,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000001,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,2,-10,20,20,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000002,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,6,20,40,0,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000003,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,4,-20,0,-10,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000004,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,2,-40,-20,-20,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000005,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,8,40,20,20,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000006,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,4,-10,10,10,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000007,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,6,10,-40,-10,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000008,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,4,40,10,0,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000009,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,6,-40,-20,0,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000010,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,2,10,0,10,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
